H,albedo,rot_per,spec_B
3.35,0.09,2.3099747223051574,C
4.11,0.155,2.1762530257808668,B
5.19,0.214,2.105352923464337,S
3.25,0.4228,1.8472143008269288,V
6.96,0.274,2.8795354791514796,S
5.61,0.2679,2.113178496476861,S
5.68,0.2766,2.096667322344904,S
5.65,0.0717,2.6965172852884858,C
6.73,0.191,2.6892342868445693,S
7.29,0.163,2.2679832962039708,L
6.91,0.049,2.0850507804443463,C
6.55,0.159,2.7743371927738982,S
5.43,0.248,1.9576975467714857,S
6.2,0.1203,1.647889098808353,X
7.92,0.193,2.5855420195060583,S
6.35,0.181,2.531313022602156,S
7.49,0.037,2.1333613836692664,C
6.54,0.241,2.2080546091478124,S
7.49,0.19,2.2154464351772822,X
6.79,0.166,1.63866656309423,X
7.09,0.2536,2.5886658840788526,S
7.22,0.067,2.2379398995005144,B
7.87,0.35,2.391886346214779,S
7.47,0.1966,2.6468837658647226,S
7.03,0.215,2.4343323950750664,S
7.21,0.1763,2.8157679363337147,S
5.98,0.216,1.8550628528972934,S
7.57,0.192,2.6868946590294187,S
6.84,0.053,1.8764069432883397,C
7.75,0.2564,2.3464105725340754,S
8.47,0.24,2.9759376462258116,S
8.75,0.023,2.5764217586237734,C
8.68,0.066,3.493472657771326,C
7.29,0.1826,2.120283536000094,S
8.52,0.055,2.6274184310766193,C
5.97,0.269,1.8144989561975444,S
6.56,0.22,2.2935443483418965,S
7.58,0.059,1.9441943922718101,C
7.7,0.139,2.6803363625346943,L
7.93,0.234,1.9113453232747952,S
6.75,0.482,2.0044485626384057,X
7.75,0.045,1.9019582615261306,C
8.52,0.046,3.092858984284714,X
8.15,0.082,2.651691467432826,B
7.11,0.065,2.556451816951096,C
7.99,0.048,3.0775426487515567,C
9.42,0.05,2.7288327402847385,C
7.72,0.1,2.1728180349349806,C
6.65,0.057,1.8916651342029174,C
7.95,0.059,2.0824370506596344,C
7.83,0.204,1.7585473350219414,X
8.51,0.057,2.952146045391068,X
6.93,0.2149,3.2704810705938727,S
9.03,0.044,2.388303968396583,C
8.08,0.044,2.685872756157507,B
8.64,0.373,3.266064707670659,S
